timestamps,open,high,close,low,volume,amount
1993-02-23,6227.8000,6227.8000,6149.2000,6138.2000,74423568,457645404345.60
1993-02-24,6142.7000,6203.8000,6177.7000,6078.6000,87637008,541395144321.60
1993-02-25,6176.9000,6206.8000,6203.9000,6167.7000,86110560,534221303184.00
1993-02-26,6266.2000,6352.0000,6352.0000,6265.2000,125244464,795552835328.00
1993-03-01,6353.1000,6407.9000,6398.8000,6338.1000,115589344,739633094387.20
1993-03-02,6389.3000,6405.4000,6344.2000,6340.5000,94732512,601002002630.40
1993-03-03,6345.4000,6438.9000,6436.6000,6345.4000,100926000,649620291600.00
1993-03-04,6492.5000,6538.3000,6467.8000,6467.0000,120034544,776359423683.20
1993-03-05,6496.3000,6519.9000,6502.8000,6429.2000,104189136,677521113580.80
1993-03-08,6509.8000,6511.1000,6482.2000,6433.2000,63441264,411238961500.80
1993-03-09,6485.3000,6537.1000,6508.0000,6485.3000,99374080,646726512640.00
1993-03-10,6505.7000,6511.3000,6488.5000,6471.9000,81959504,531794241704.00
1993-03-11,6470.0000,6470.0000,6371.8000,6300.6000,96135968,612559160902.40
1993-03-12,6372.8000,6447.4000,6170.4000,6170.4000,173761660,1072178946864.00
1993-03-15,5919.5000,5934.5000,5854.6000,5792.2000,174637290,1022431478034.00
1993-03-16,5903.5000,5980.0000,5980.0000,5903.5000,120445920,720266601600.00
1993-03-17,5949.4000,5960.2000,5958.3000,5760.8000,140752510,838645680333.00
1993-03-18,5962.2000,6102.7000,6051.3000,5962.2000,103966768,629134103198.40
1993-03-19,6061.1000,6100.1000,6088.3000,6029.6000,98520160,599820290128.00
1993-03-22,6089.6000,6101.1000,6060.0000,6016.1000,54036080,327458644800.00
1993-03-23,6051.3000,6125.6000,6118.0000,6050.1000,61574896,376715213728.00
1993-03-24,6113.9000,6217.1000,6212.2000,6103.0000,70980192,440943148742.40
1993-03-25,6232.1000,6323.5000,6247.0000,6232.1000,90600272,565979899184.00
1993-03-26,6245.6000,6369.8000,6341.3000,6225.2000,81400208,516183138990.40
1993-03-29,6322.7000,6369.9000,6322.9000,6310.4000,61827920,390931755368.00
1993-03-30,6328.7000,6442.4000,6406.5000,6328.7000,99510576,637514505144.00
1993-03-31,6415.1000,6440.7000,6388.9000,6353.3000,78885248,503989960947.20
1993-04-01,6385.2000,6427.1000,6408.9000,6385.2000,56663424,363150218073.60
1993-04-02,6395.7000,6418.5000,6404.4000,6353.5000,69457376,444832818854.40
1993-04-06,6409.7000,6414.3000,6340.8000,6334.4000,65205232,413453335065.60
1993-04-07,6326.5000,6326.5000,6281.7000,6250.2000,54141984,340103700892.80
1993-04-08,6276.7000,6323.7000,6285.7000,6258.9000,58312656,366535861819.20
1993-04-13,6285.7000,6418.4000,6418.2000,6264.8000,62360016,400239054691.20
1993-04-14,6651.2000,6805.7000,6789.7000,6651.2000,210857930,1431662087321.00
1993-04-15,6783.5000,6796.7000,6732.0000,6728.6000,151166960,1017655974720.00
1993-04-16,6736.5000,6755.9000,6697.2000,6687.0000,121865680,816158832096.00
1993-04-19,6690.0000,6709.4000,6680.2000,6643.7000,89964320,600979650464.00
1993-04-20,6679.0000,6679.0000,6638.5000,6618.6000,78148528,518789003128.00
1993-04-21,6638.5000,6768.4000,6768.4000,6638.5000,112761376,763214097318.40
1993-04-22,6774.8000,6831.2000,6759.2000,6734.1000,129570480,875792788416.00
1993-04-23,6756.2000,6777.2000,6750.9000,6718.2000,93462096,630953263886.40
1993-04-26,6750.9000,6845.8000,6845.8000,6750.9000,185046120,1266788728296.00
1993-04-27,6857.9000,6899.9000,6836.9000,6821.9000,138617880,947716583772.00
1993-04-28,6836.5000,6915.2000,6894.9000,6801.1000,124378768,857579167483.20
1993-04-29,6864.5000,6898.9000,6884.1000,6835.3000,96649920,665347714272.00
1993-04-30,6892.0000,6912.1000,6830.5000,6828.2000,87221456,595766155208.00
1993-05-03,6830.5000,6830.5000,6790.1000,6727.6000,54783136,371982971753.60
1993-05-04,6788.8000,6836.3000,6827.3000,6757.5000,52067392,355479705401.60
1993-05-05,6821.3000,6856.5000,6829.3000,6771.4000,81469232,556377826097.60
1993-05-06,6829.3000,6864.2000,6795.5000,6786.4000,80666512,548169282296.00
1993-05-07,6788.7000,6803.9000,6798.3000,6770.7000,85263344,579645791515.20
1993-05-10,6790.5000,6802.1000,6739.2000,6735.9000,64761984,436443962572.80
1993-05-11,6731.6000,6872.8000,6842.0000,6731.6000,77962448,533419069216.00
