timestamps,open,high,close,low,volume,amount
2015/10/27,3314.04,3314.04,3314.04,3314.04,307290660,3312169600
2015/10/28,3287.70,3287.70,3287.70,3287.70,240869770,2605897200
2015/10/29,3269.54,3269.54,3269.54,3269.54,210429650,2620078400
2015/10/30,3287.79,3287.79,3287.79,3287.79,224473670,3138055600
2015/11/2,3254.99,3254.99,3254.99,3254.99,210367210,2509582800
2015/11/3,3305.21,3305.21,3305.21,3305.21,212843340,4268881900
2015/11/4,3411.14,3411.14,3411.14,3411.14,555191540,6968168500
2015/11/5,3396.96,3396.96,3396.96,3396.96,239448600,3450139000
2015/11/6,3429.69,3429.69,3429.69,3429.69,437051270,3183481900
2015/11/9,3422.26,3422.26,3422.26,3422.26,224591060,3133860700
2015/11/10,3350.76,3350.76,3350.76,3350.76,208510620,3194425100
2015/11/11,3341.14,3341.14,3341.14,3341.14,550535020,5192403200
2015/11/12,3445.61,3445.61,3445.61,3445.61,1819309200,6835228500
2015/11/13,3435.75,3435.75,3435.75,3435.75,910362660,5332084600
2015/11/16,3394.75,3394.75,3394.75,3394.75,485493030,4085115100
2015/11/17,3418.78,3418.78,3418.78,3418.78,481788080,4232116900
2015/11/18,3422.25,3422.25,3422.25,3422.25,239018130,2914840300
2015/11/19,3511.61,3511.61,3511.61,3511.61,496408390,3975276200
2015/11/20,3574.67,3574.67,3574.67,3574.67,577644900,3436369800
2015/11/23,3593.47,3593.47,3593.47,3593.47,381533370,3403263600
2015/11/24,3587.52,3587.52,3587.52,3587.52,599903060,3443268400
2015/11/25,3592.55,3592.55,3592.55,3592.55,326098370,3290971000
2015/11/26,3531.30,3531.30,3531.30,3531.30,262039420,3336430700
2015/11/27,3434.35,3434.35,3434.35,3434.35,583253130,4063099600
2015/11/30,3442.77,3442.77,3442.77,3442.77,601206530,6921501500
2015/12/1,3486.80,3486.80,3486.80,3486.80,373906290,5356417500
2015/12/2,3481.35,3481.35,3481.35,3481.35,294607920,4257728800
2015/12/3,3473.36,3473.36,3473.36,3473.36,252816030,5194957000
2015/12/4,3439.01,3439.01,3439.01,3439.01,275345700,8435636700
2015/12/7,3451.35,3451.35,3451.35,3451.35,252510280,4197904200
2015/12/8,3414.29,3414.29,3414.29,3414.29,276829880,3712288700
2015/12/9,3390.14,3390.14,3390.14,3390.14,284905120,3806836600
2015/12/10,3344.52,3344.52,3344.52,3344.52,355535560,3259088100
